artist	artist_id	name	album	release_year	header	lyrics
Jay-Z	12	D’Evils	Reasonable Doubt	1996	[Verse 3]	"My flesh no nigga could test, my soul is possessed
By D'evils in the form of diamonds and Lexuses
The Exorcist got me doin' sticks
Like, ""Homie, you don't know me
But the whole world owe me, strip!""
Was thought to be a pleasant guy all my fuckin' life
So now I'm down for whatever, ain't nothin' nice
Throughout my junior high years it was all friendly
But now this higher learning got the Remy in me
Liquor's invaded my kidneys
Got me ready to lick off – Momma, forgive me
I can't be held accountable, D'evils beatin' me down, boo
Got me runnin' with guys, makin' G's, tellin' lies that sound true
Come test me, I never cower
For the love of money, son, I'm givin' lead showers
Stop screamin', you know the demon said it's best to die
And even if Jehovah witness, bet he'll never testify
D'evils"
OutKast	28	Hootie Hoo	Southernplayalisticadillacmuzik	1994	[Chorus]	"Hootie-hoo
Big Boi on my left, Andre's on my right
Tight like hallways, smoked out always (Hootie-hoo)
Hootie-hoo
Big Boi on my left, Andre's on my right
Tight like hallways, smoked out always (Hootie-hoo)"
Kendrick Lamar	16	Worldwide Steppers	Mr. Morale & The Big Steppers	2022	[Verse 2]	"The first time I fucked a white bitch
I was sixteen at the Palisades
Fumblin' my grades, I traveled with the team
The apache life, Centennial was like
When Mrs. Baker screamed at Doughboy
Mixed that with Purple Rain
They interchanged the scenes
Happy just to be out the hood
With all the wealthy kids
Credit cards and family plans
She drove her daddy's Benz
I found out that he was a sheriff
That was a win-win
Because he had locked up Uncle Perry
She paid her daddy's sins
Next time I fucked a white bitch
Was out in Copenhagen
​good kid, m.A.A.d city tour
I flourished on them stages
Whitney asked did I have a problem
I said, ""I might be racist""
Ancestors watchin' me fuck was like retaliation"
Kanye West	5	Stronger	Graduation	2007	[Verse 1]	"Let's get lost tonight
You could be my black Kate Moss tonight
Play secretary, I'm the boss tonight
And you don't give a fuck what they all say, right?
Awesome, the Christian in Christian Dior
Damn, they don't make 'em like this anymore
I ask, 'cause I'm not sure
Do anybody make real shit anymore?
Bow in the presence of greatness
'Cause right now, thou hast forsaken us
You should be honored by my lateness
That I would even show up to this fake shit
So go ahead, go nuts, go apeshit
'Specially in my Pastellé, on my Bape shit
Act like you can't tell who made this
New Gospel, homie, take six
And take this, haters"
Big L	25	M.V.P.	Lifestylez ov da Poor & Dangerous	1995	[Chorus]	"If rap was a game, I'll be MVP
Ayo, if rap was a game, I'll be MVP"
Eminem	15	Leaving Heaven	Music to Be Murdered By	2020	[Verse 3]	"Okay, so while Macklemore was keeping his room nice and neat (Yeah)
I was getting my ass beat twice a week (What?)
Looking for a place for the night where I could sleep (Yeah)
Flippin' sofa cushions over just tryin' to see
If I could find some change and scrape up for a bite to eat
If Denaun and me find a couple dimes a piece
Twenty five cents each'd get us a bag of chips
We'd be glad to get that even if we had to split
We'd do backward flips, looking back at it
I think that would fit with the definition of not having shit
Couple that with the fact my mother was batshit
Pop was a sack of shit, yeah, he died, but I gave half a shit
Yeah, which brings me back to the dear ol' dad that I zero had
Since a year-old, forty-seven year-old scab
Just to hear them words, ear piercing
Like my earlobe stabbed with a needle for an earring
Should I feel upset? You were dead to me 'fore you died
Me? Tear no shed
Should I have made a mural at your funeral?
Had your coffin draped with a hero's flag?
Where the fuck you were at
When De'Angelo done hurt me real bad at the Rio Grande?
Never met your grandkids, fucking coward
Only guts you had was from your stomach fat
I couldn't see your ass goin' to Heaven
So I'm asking for a pass to go to Hell
So I can whip your fucking ass
I hate that I'll never get to say ""I hate you"" to your face
No coming back from where I'm going
Sky is dark, my soul is black, hand on the shovel
Dig with the blade of it then I step on the metal
Vendetta to settle, tell the Devil"
Kurupt	4	Do What I Feel	Dogg Food	1995	[Verse 1]	"Now, here's the perfect mix to let it bubble and foam
Wait three seconds, then watch the microphone get blown
It's the mischievous lyrical genius on the loose
And I pack the deuce-deuce of some ackrite juice
I'm in my own space and time
The elevation of my rhymes elevates your mind
It's a clear blue sky, and a clear blue day
For a G from D.P.G to wear clear blue and gray
I come, I came, I am, I ain't
The nigga ya wants to fuck wit', get peeled like paint
Bottoms up! Nigga, give it all ya got
From the bottom to the top, or get shanked, get shot!
Provocative footage of this lyrical abuse
Transgression from this infectious interlude
They on the loose, and unstoppable
Daz — my muthafuckin' nigga from back in the past!"
Eminem	15	My Fault	The Slim Shady LP	1999	[Verse 2]	"""Yo, Sue""
""Get away from me, I don't know you""
""Oh shoot, she's trippin'""
""I need to go puke"" (Blehh)
""I wasn't tryna turn this into somethin' major
I just wanted to make you appreciate nature
Susan, stop crying, I don't hate ya
The world's not against you, I'm sorry your father raped ya
So what you had your little coochie in your dad's mouth?
That ain't no reason to start wiggin' and spaz out (Nah)""
She said, ""Help me, I think I'm havin' a seizure""
I said, ""I'm high too, bitch, quit grabbin' my T-shirt (Let go)
Would you calm down? You're startin' to scare me""
She said, ""I'm 26 years old and I'm not married
I don't even have any kids and I can't cook""
""(Hello) I'm over here, Sue (Hi)
You're talking to the plant, look
We need to get to a hospital 'fore it's too late
'Cause I never seen no one eat as many 'shrooms as you ate"""
Daz Dillinger	2	I Don’t Like to Dream About Gettin’ Paid	Dogg Food	1995	[Verse 2]	"The thought's complete, so lemme take a seat
Since I was born and raised on the streets
I quit the job I had and copped myself a sack
Went from a double of fifty into a C-note stack
Within a week, but my peak wadn't reached
I was gettin' too known on the north side of Long Beach
Niggas got to trippin' and I thought I heard a
So I went to the hood on 20th and Myrtle
I came up quick wit' some homies that I knew from way, way back
And then my sack, or maybe was seven, or was it eight hundred strong?
In other words — Daz had it goin' on!
I bought myself a bucket — that's right, a bucket, bitch!
Who you fuckin' — my car or my dick?
My lifestyle switched a bit, but my attitude didn't
I told all my old bitches ""Good riddance!""
'Cause when you got money, hoes come automatically
And old hoes don't do nothin' but cause some static, see?
I went from khakis to Guess, braids to a fade
I'm not Special Ed, but I had it made
Livin' the life of a baller care-free
Had bitches dyin' to sleep wit' me, ya see?
But I went bankrupt from all the spendin' and gamblin'
Bidness was gettin' slow, and I wadn't handlin'
Mine the way I was supposed to
Now I'm broke and on a jakk mission, so don't get close to
Tha D.P.G. Gang 'cause we scandalous when we broke
We get Tha Doggs in us and we get to actin' like locs"
50 Cent	19	Ski Mask Way	The Massacre	2005	[Chorus]	"Nigga, that watch is nice, that's what you bought for me?
That chain is nice, that's what you bought for me?
Them earrings is nice, that's what you bought for me?
Take that shit off, move, I'll break you off properly
I get mine the fast way, ski mask way
Make money, make money-money-money
Nigga, if you ask me, this the only way
Take money, take money-money-money"
Eminem	15	The Monster	The Marshall Mathers LP 2	2013	[Verse 2]	"Now, I ain't much of a poet
But I know somebody once told me to seize the moment and don't squander it
'Cause you never know when it all could be over tomorrow
So I keep conjurin'
Sometimes I wonder where these thoughts spawn from
Yeah, ponderin'll do you wonders
No wonder you're losin' your mind, the way it wanders
() Yodel-odel-ay-hee-hoo!
I think it went wanderin' off down yonder
And stumbled onto Jeff VanVonderen
'Cause I need an interventionist
To intervene between me and this monster
And save me from myself and all this conflict
'Cause the very thing that I love's killin' me and I can't conquer it
My OCD's conkin' me in the head, keep knockin'
Nobody's home, I'm sleepwalkin'
I'm just relayin' what the voice in my head's sayin'
Don't shoot the messenger, I'm just friends with the—"
Dr. Dre	1	Compton	good kid, m.A.A.d city	2012	[Verse 5]	"So tell that gangster throw his set high
Roll it up in a blunt, I'ma take you on the next high
I did exactly what I wanted that's what made them checks fly
In my direction, you never questioned when I said I
Would be a mogul before I visit 2Pac and Left-Eye
Eazy and Aaliyah when I see you we gon' test drive
A Lambo in heaven but for now I'm on the redeye
Flying back to my city cuz I'll forever standby"
Nate Dogg	3	Have A Party	Get Rich Or Die Tryin’ Music From And Inspired By The Motion Picture	2005	[Chorus]	"Hey! Go ahead and have a party if you want to
Now, now, now, now - come on
Hey! Go ahead and touch your body like you want to
Now, now, now, now - come on"
Eminem	15	Just Don’t Give a Fuck	The Slim Shady LP	1998	[Outro]	"(Shit, fuck everybody)
Outsiderz, Pacewon, Young Zee (Fuck the entire world)
D.U."
Jay-Z	12	A Week Ago	Vol. 2… Hard Knock Life	1998	[Verse 3]	"The lawyer I retained you said you leakin' some things
All this after a week in the bing
I'm mad at myself, 'cause I didn't spot the weakling
I would've bet the house you wouldn't speak a thing
Nigga, this was the oath, to the top or broke
Even pricked our finger, anything that got between us
We supposed to cock the ninas, what happened to that?
Instead you copped out to a misdemeanor
Fuck it, the same thing make you laugh make you cry (that's right)
The same game that make you math could make you die
(That's life) It's a dice game, and sometimes you crap
Who would've thought you'd get popped one time and rat?
Now you know that's bad when your sister is mad
And your son gotta grow up, like, ""This is my dad?""
The labeling of a snitch is a lifetime scar
You'll always be in jail, nigga, just minus the bars"
OutKast	28	BuggFace	Idlewild	2006	[Outro]	"""Can I dance?"" {*echoes*}
Oh shit, Bamboo! You gonna break.. get outta here, you 'bout to break somethin!
(Stop!) Y'all just playing around now.. y'all just playing around
Come on Cross! (what?) You can hear the music from there"
Lupe Fiasco	23	The Emperor’s Soundtrack	Lupe Fiasco’s Food & Liquor	2006	[Verse 6]	"Here we are now, entertain us
Change don't change us
Ever since the game trained us
We came up like worms in the rain
I dream my chain became a loose noose that was used to hang us
So now, my insane brain, my 32 teeth
And two feet creep like its Elm Street
Cause"
Snoop Dogg	0	Bitches Ain’t Shit	The Chronic	1992	[Verse 4]	"I once had a bitch named Mandy May
Used to be all in them guts like every day
The pussy was the bomb, had a nigga on sprung
I was in love like a motherfucker, lickin' the pearl tongue
The homies used to tell me that she wasn't no good
But I'm the maniac in black, Mr. Snoop Eastwood
So I figured niggas wouldn't trip with mine
Guess what? Got gaffled by one-time
I'm back to the motherfuckin' county jail
Six months on my chest, now it's time to bail
Uh, I gets released on a hot sunny day
My nigga D.O.C. and my homie Dr. Dre
Scoop in a coupe, ""Snoop, we got news
Your girl was trickin' while you was draped in your county blues""
I ain't been out a second
And already gotta do some motherfuckin' chin-checkin'
Move up the blocks as we groove up the block
See my girl's house, ""Dre, pass the Glock""
Kick in the door, I look on the floor
It's my lil' cousin Daz and he's fuckin' my ho, yo
(Bitches ain't shit) I un-cock my shit
I'm heartbroke but I'm still loc'ed, man, fuck a bitch"
